case:concept:name,concept:name,time:timestamp,Variant,Variant index,(case) creator,(case) variant,(case) variant-index,Resource,Variant,Variant2_index,Variant3,customer,lifecycle:transition,product,responsible_section,seriousness,seriousness_2,service_level,service_type,support_section,workgroup
Case1,Assign seriousness,50:17.0,Variant 12,12,Fluxicon Disco,Variant 12,12,Value 1,Variant 12,12,Variant 12,Value 1,complete,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case1,Take in charge ticket,51:01.0,Variant 12,12,Fluxicon Disco,Variant 12,12,Value 1,Variant 12,12,Variant 12,Value 1,complete,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case1,Take in charge ticket,02:56.0,Variant 12,12,Fluxicon Disco,Variant 12,12,Value 2,Variant 12,12,Variant 12,Value 1,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1,Resolve ticket,54:26.0,Variant 12,12,Fluxicon Disco,Variant 12,12,Value 1,Variant 12,12,Variant 12,Value 1,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1,Closed,54:39.0,Variant 12,12,Fluxicon Disco,Variant 12,12,Value 3,Variant 12,12,Variant 12,Value 1,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case10,Assign seriousness,50:20.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 10,complete,Value 3,Value 2,Value 1,Value 1,Value 3,Value 1,Value 2,Value 3
Case10,Take in charge ticket,47:06.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 10,complete,Value 3,Value 2,Value 1,Value 1,Value 3,Value 1,Value 2,Value 3
Case10,Resolve ticket,47:13.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 10,complete,Value 3,Value 2,Value 1,Value 1,Value 3,Value 1,Value 2,Value 3
Case10,Closed,47:38.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 10,complete,Value 3,Value 2,Value 1,Value 1,Value 3,Value 1,Value 2,Value 3
Case100,Assign seriousness,25:17.0,Variant 10,10,Fluxicon Disco,Variant 10,10,Value 1,Variant 10,10,Variant 10,Value 44,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case100,Take in charge ticket,24:01.0,Variant 10,10,Fluxicon Disco,Variant 10,10,Value 9,Variant 10,10,Variant 10,Value 44,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case100,Require upgrade,51:11.0,Variant 10,10,Fluxicon Disco,Variant 10,10,Value 9,Variant 10,10,Variant 10,Value 44,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
