case:concept:name,concept:name,time:timestamp
0,Insert ticket,2021-01-01 01:00:00
0,Closed,2021-01-01 01:00:00
1,Insert ticket,2021-01-01 02:02:59
2,Closed,2021-01-01 03:04:24
3,Resolve ticket,2021-01-01 04:10:04
4,Assign seriousness,2021-01-01 05:10:04
4,Closed,2021-01-01 05:10:04
4,Assign seriousness,2021-01-01 05:10:04
4,Assign seriousness,2021-01-01 05:10:04
5,Closed,2021-01-01 06:08:14
5,Closed,2021-01-01 06:08:14
6,Closed,2021-01-01 07:11:48
6,Require upgrade,2021-01-01 07:11:48
7,Create SW anomaly,2021-01-01 08:15:33
8,Resolve ticket,2021-01-01 09:16:45
9,Closed,2021-01-01 10:18:07
10,Take in charge ticket,2021-01-01 11:20:28
10,Assign seriousness,2021-01-01 11:20:28
10,Closed,2021-01-01 11:20:28
11,Take in charge ticket,2021-01-01 12:23:25
12,Closed,2021-01-01 13:24:56
12,Take in charge ticket,2021-01-01 13:24:56
12,Wait,2021-01-01 13:24:56
13,Closed,2021-01-01 14:26:57
13,Take in charge ticket,2021-01-01 14:26:57
14,Assign seriousness,2021-01-01 15:32:48
15,Resolve ticket,2021-01-01 16:34:45
16,Closed,2021-01-01 17:38:20
17,Closed,2021-01-01 18:40:11
18,Closed,2021-01-01 19:42:20
19,Closed,2021-01-01 20:43:36
19,Assign seriousness,2021-01-01 20:43:36
19,Assign seriousness,2021-01-01 20:43:36
20,Closed,2021-01-01 21:46:03
21,Take in charge ticket,2021-01-01 22:49:14
22,Wait,2021-01-01 23:50:33
22,Take in charge ticket,2021-01-01 23:50:33
23,Closed,2021-01-02 00:51:20
24,Closed,2021-01-02 01:54:05
25,Take in charge ticket,2021-01-02 02:56:40
26,Wait,2021-01-02 04:00:37
26,Closed,2021-01-02 04:00:37
26,Wait,2021-01-02 04:00:37
27,Closed,2021-01-02 05:04:27
28,Closed,2021-01-02 06:06:24
28,Take in charge ticket,2021-01-02 06:06:24
29,Wait,2021-01-02 07:08:07
30,Closed,2021-01-02 08:09:46
28,Require upgrade,2021-01-02 08:41:35
31,Take in charge ticket,2021-01-02 09:08:23
32,Closed,2021-01-02 10:12:14
33,Take in charge ticket,2021-01-02 11:16:17
34,Assign seriousness,2021-01-02 12:19:32
35,Assign seriousness,2021-01-02 13:18:31
35,Wait,2021-01-02 13:18:31
36,Take in charge ticket,2021-01-02 14:18:49
37,Closed,2021-01-02 15:18:51
38,Closed,2021-01-02 16:22:38
38,Take in charge ticket,2021-01-02 16:22:38
38,Take in charge ticket,2021-01-02 16:22:38
39,Assign seriousness,2021-01-02 17:26:35
40,Assign seriousness,2021-01-02 18:33:00
41,Closed,2021-01-02 19:37:05
42,Take in charge ticket,2021-01-02 20:42:07
42,Wait,2021-01-02 20:42:07
13,Closed,2021-01-02 21:43:25
43,Assign seriousness,2021-01-02 21:45:46
44,Take in charge ticket,2021-01-02 22:49:15
44,Resolve ticket,2021-01-02 22:49:15
45,Assign seriousness,2021-01-02 23:52:14
45,Assign seriousness,2021-01-02 23:52:14
46,Take in charge ticket,2021-01-03 00:52:55
47,Assign seriousness,2021-01-03 01:58:02
48,Take in charge ticket,2021-01-03 02:57:26
48,Take in charge ticket,2021-01-03 02:57:26
48,Wait,2021-01-03 02:57:26
49,Closed,2021-01-03 04:03:53
50,Closed,2021-01-03 05:06:28
51,Wait,2021-01-03 06:07:21
52,Wait,2021-01-03 07:06:22
53,Assign seriousness,2021-01-03 08:09:53
54,Wait,2021-01-03 09:12:04
55,Resolve ticket,2021-01-03 10:12:53
56,Wait,2021-01-03 11:16:28
57,Closed,2021-01-03 12:17:47
57,Closed,2021-01-03 12:17:47
58,Assign seriousness,2021-01-03 13:25:33
59,Assign seriousness,2021-01-03 14:24:28
59,Assign seriousness,2021-01-03 14:24:28
59,Assign seriousness,2021-01-03 14:24:28
27,Wait,2021-01-03 14:52:14
60,Take in charge ticket,2021-01-03 15:23:43
61,Take in charge ticket,2021-01-03 16:26:38
62,Take in charge ticket,2021-01-03 17:27:07
63,Wait,2021-01-03 18:30:58
2,Take in charge ticket,2021-01-03 18:35:43
2,Wait,2021-01-03 18:35:43
64,Take in charge ticket,2021-01-03 19:32:42
65,Take in charge ticket,2021-01-03 20:37:58
4,Closed,2021-01-03 20:50:36
66,Closed,2021-01-03 21:42:09
67,Closed,2021-01-03 22:46:00
10,Assign seriousness,2021-01-03 23:09:04
10,Closed,2021-01-03 23:09:04
68,Assign seriousness,2021-01-03 23:50:05
68,Closed,2021-01-03 23:50:05
68,Closed,2021-01-03 23:50:05
69,Take in charge ticket,2021-01-04 00:54:10
19,Assign seriousness,2021-01-04 01:37:54
70,Closed,2021-01-04 01:55:43
71,Wait,2021-01-04 03:01:09
72,Wait,2021-01-04 04:06:37
73,Closed,2021-01-04 05:07:24
74,Assign seriousness,2021-01-04 06:11:17
74,Closed,2021-01-04 06:11:17
10,Closed,2021-01-04 06:13:36
10,Closed,2021-01-04 06:13:36
75,Wait,2021-01-04 07:12:40
25,Take in charge ticket,2021-01-04 07:15:32
76,Assign seriousness,2021-01-04 08:18:02
77,Wait,2021-01-04 09:18:55
78,Closed,2021-01-04 10:24:01
79,Closed,2021-01-04 11:25:21
79,Take in charge ticket,2021-01-04 11:25:21
80,Closed,2021-01-04 12:28:16
80,Assign seriousness,2021-01-04 12:28:16
81,Closed,2021-01-04 13:33:14
82,Closed,2021-01-04 14:37:40
83,Wait,2021-01-04 15:39:25
84,Assign seriousness,2021-01-04 16:43:19
85,Take in charge ticket,2021-01-04 17:41:09
86,Resolve ticket,2021-01-04 18:45:20
87,Take in charge ticket,2021-01-04 19:48:07
88,Take in charge ticket,2021-01-04 20:53:01
89,Closed,2021-01-04 21:55:34
90,Closed,2021-01-04 23:01:06
91,Assign seriousness,2021-01-04 23:59:58
92,Closed,2021-01-05 01:02:53
93,Take in charge ticket,2021-01-05 02:03:29
94,Take in charge ticket,2021-01-05 03:06:10
95,Take in charge ticket,2021-01-05 04:09:33
96,Take in charge ticket,2021-01-05 05:12:56
97,Take in charge ticket,2021-01-05 06:14:15
98,Take in charge ticket,2021-01-05 07:14:33
25,Take in charge ticket,2021-01-05 07:29:05
99,Assign seriousness,2021-01-05 08:15:38
75,Assign seriousness,2021-01-05 12:01:21
1,Assign seriousness,2021-01-05 14:47:05
79,Take in charge ticket,2021-01-05 20:58:23
68,Assign seriousness,2021-01-06 16:32:22
91,Take in charge ticket,2021-01-06 21:08:42
99,Take in charge ticket,2021-01-06 21:38:42
53,Take in charge ticket,2021-01-07 00:21:51
53,Assign seriousness,2021-01-07 00:21:51
53,Assign seriousness,2021-01-07 00:21:51
80,Resolve ticket,2021-01-07 03:49:06
73,Closed,2021-01-07 07:55:23
78,Take in charge ticket,2021-01-07 11:24:02
36,Wait,2021-01-07 13:40:04
11,Closed,2021-01-07 16:01:31
38,Wait,2021-01-07 17:12:14
